"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr2071","The Rock Pool Project database - intertidal species records from rocky shore habitats - from February 2019","10.15468/bqpd1n","The Rock Pool Project database -  www.therockpoolproject.co.uk -  downloaded [DATE] - [YEAR]","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) The Rock Pool Project","For more information:  https://registry.nbnatlas.org/public/show/dr2071","","","","1"
"dp83","Natural England","","Records provided by Natural England, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp83","","","","3"
"dr690","Seasearch Marine Surveys in England","doi:10.15468/kywx6m","Seasearch ([Insert download year]). Seasearch Marine Surveys in England. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information: email info@seasearch.org.uk, or https://registry.nbnatlas.org/public/show/dr690","","","","3"
"dp80","Marine Biological Association","","Records provided by Marine Biological Association, accessed through NBN Atlas website.","","For more information: email dassh.enquiries@mba.ac.uk, or https://registry.nbnatlas.org/public/show/dp80","","","","12"
"dr1258","2004-2012 Bishop et al. Occurrence of non-native sessile invertebrates on the English coast","doi:10.15468/t9edux","2004-2012 Bishop et al. Occurrence of non-native sessile invertebrates on the English coast by Marine Biological Association under licence CC BY.

Conditions of use of dataset: No marina names (if deduced) should be published without the marinas explicit consent. Cite: Bishop, JDD, Wood, CA, Yunnie, ALE, Griffiths, CA. (2015) Unheralded arrivals: non-native sessile invertebrates in marinas on the English coast. Aquatic Invasions, 10.","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  https://registry.nbnatlas.org/public/show/dr1258","","","","8"
"dr1204","DASSH Data Archive Centre volunteer sightings records","doi:10.15468/xwiw3h","DASSH Data Archive Centre volunteer sightings records by Marine Biological Association under licence CC BY.
Released under DASSH terms and conditions – See http://www.dassh.ac.uk/terms-and-conditions","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  https://registry.nbnatlas.org/public/show/dr1204","","","","1"
"dp233","The Rock Pool Project","","Records provided by The Rock Pool Project, accessed through NBN Atlas website.","","For more information: email bholt@therockpoolproject.co.uk, or https://registry.nbnatlas.org/public/show/dp233","","","","1"
"dp119","Seasearch","","Records provided by Seasearch, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp119","","","","3"
"dr1429","Verified marine records from Indicia-based surveys","doi:10.15468/yfyeyg","Verified marine records from Indicia-based surveys by Marine Biological Association and Biological Records Centre under licence CC BY. Released under DASSH terms and conditions – See http://www.dassh.ac.uk/terms-and-conditions","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information:  https://registry.nbnatlas.org/public/show/dr1429","","","","3"
"dr833","Natural England Marine Monitoring surveys","doi:10.15468/ysikg5","Natural England ([Insert download year]). Natural England Marine Monitoring surveys. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) OGL","For more information:  https://registry.nbnatlas.org/public/show/dr833","","","","3"
