"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr1972","Coastwatch Marine Species Records from Northern Ireland","10.15468/am9ap4","Centre for Environmental Data and Recording ([Insert download year]). Coastwatch Marine Species Records from Northern Ireland. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY)","For more information:  https://registry.nbnatlas.org/public/show/dr1972","","","","3"
"dr902","Porcupine Marine Natural History Society Dataset","doi:10.15468/pcmg9q","Porcupine Marine Natural History Society (2020): Porcupine Marine Natural History Society Dataset. v2.2. Marine Biological Association. Dataset/Samplingevent. Occurrence dataset on the NBN Atlas. https://doi.org/10.17031/zay9rc","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  https://registry.nbnatlas.org/public/show/dr902","","","","19"
"dr749","Seasearch Marine Surveys in Scotland","doi:10.15468/0hyjxi","Seasearch ([Insert download year]). Seasearch Marine Surveys in Scotland. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information: email info@seasearch.org.uk, or https://registry.nbnatlas.org/public/show/dr749","","","","4"
"dp59","Argyll Biological Records Centre","","Records provided by Argyll Biological Records Centre, accessed through NBN Atlas website.","","For more information: email data@lnhg.org.uk, or https://registry.nbnatlas.org/public/show/dp59","","","","3"
"dp89","Capturing our Coast","","Records provided by Capturing our Coast, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp89","","","","2"
"dp3","Outer Hebrides Biological Recording","","Records provided by Outer Hebrides Biological Recording, accessed through NBN Atlas website.","","For more information: email admin@ohbr.org.uk, or https://registry.nbnatlas.org/public/show/dp3","","","","1"
"dr819","Argyll Biological Records Dataset","10.15468/ejve6c","Argyll Biological Records Centre ([Insert year of download]). Argyll Biological Records Dataset. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  https://registry.nbnatlas.org/public/show/dr819","","","","3"
"dp84","Porcupine Marine Natural History Society","","Records provided by Porcupine Marine Natural History Society, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp84","","","","19"
"dp83","Natural England","","Records provided by Natural England, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp83","","","","10"
"dr1262","LERN Invasive Non-native Species Records","doi:10.15468/nt52o2","Lancashire Environment Record Network ([Insert download year]). LERN Invasive Non-native Species Records. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email lern@lancashire.gov.uk, or https://registry.nbnatlas.org/public/show/dr1262","","","","1"
"dp7","Highland Biological Recording Group","","Records provided by Highland Biological Recording Group, accessed through NBN Atlas website.","","For more information: email chair@hbrg.org.uk, or https://registry.nbnatlas.org/public/show/dp7","","","","3"
"dp80","Marine Biological Association","","Records provided by Marine Biological Association, accessed through NBN Atlas website.","","For more information: email dassh.enquiries@mba.ac.uk, or https://registry.nbnatlas.org/public/show/dp80","","","","594"
"dr3486","Manx Biological Recording Partnership VERIFIED records loaded between 24/01/2024 and 23/01/2025.","10.15468/995nzr","Manx Biological Recording Partnership VERIFIED records loaded between 24/01/2024 and 23/01/2025.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) Please acknowledge the Manx Biological Recording Partnership,  https://isleofman.nbnatlas.org/","For more information:  https://registry.nbnatlas.org/public/show/dr3486","","","","1"
"dr2556","1915-2016 Department for Environment Food & Rural Affairs (Defra), Marine Strategy Framework Directive (MSFD) Collation of invasive non-indigenous species - Version 2.3","https://doi.org/10.17031/f0vfo3","Department for Environment Food and Rural Affairs (Defra) (2018): 1915-2016 Department for Environment Food & Rural Affairs (Defra), Marine Strategy Framework Directive (MSFD) Collation of invasive non-indigenous species. v2.3. Marine Biological Association. Dataset/Samplingevent. https://doi.org/10.17031/f0vfo3","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2556","","","","67"
"dr2996","2018 Marine Biological Association of the UK (MBA) Yealm Bioblitz","","Marine Biological Association ([Insert download year]). 2018 Marine Biological Association of the UK (MBA) Yealm Bioblitz. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY)","For more information:  https://registry.nbnatlas.org/public/show/dr2996","","","","2"
"dr2677","Collection Specimens","https://doi.org/10.5519/0002965","Natural History Museum (2023). Data Portal query on 1 resources https://doi.org/10.5519/qd.i4tk4lrk","Creative Commons Zero v1.0 (CC0) CC0-1.0","For more information: email data@nhm.ac.uk, or https://registry.nbnatlas.org/public/show/dr2677","","","","1"
"dr2997","2001-2019 The Marine Biological Association of the UK (MBA) Shore Thing Survey","https://doi.org/10.17031/64d60541c7e53","Marine Biological Association ([Insert download year]). 2001-2019 The Marine Biological Association of the UK (MBA) Shore Thing Survey. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY)","For more information:  https://registry.nbnatlas.org/public/show/dr2997","","","","79"
"dr771","Invertebrates (except insects), Outer Hebrides","doi:10.15468/hpavud","Outer Hebrides Biological Recording ([Insert download year]). Invertebrates (except insects), Outer Hebrides. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  https://registry.nbnatlas.org/public/show/dr771","","","","1"
"dr2559","2009 The Marine Biological Association of the UK (MBA) Wembury Bioblitz Survey - Version 3.0","https://doi.org/10.17031/ppacwa","Lear D (2019): 2009 The Marine Biological Association of the UK (MBA) Wembury Bioblitz Survey. v3.0. Marine Biological Association. Dataset/Samplingevent. https://doi.org/10.17031/ppacwa","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2559","","","","1"
"dr693","Seasearch Marine Surveys in Ireland","doi:10.15468/pyugge","Seasearch ([Insert download year]). Seasearch Marine Surveys in Ireland. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information: email info@seasearch.org.uk, or https://registry.nbnatlas.org/public/show/dr693","","","","1"
"dp118","Norfolk Biodiversity Information Service","","Records provided by Norfolk Biodiversity Information Service, accessed through NBN Atlas website.","","For more information: email enquiries.nbis@norfolk.gov.uk, or https://registry.nbnatlas.org/public/show/dp118","","","","1"
"dp119","Seasearch","","Records provided by Seasearch, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp119","","","","84"
